Date,Open_PT,Volume_PT,Open_TH,Volume_TH,COVID_ND,COVID_NC,COVID_TV
3/30/2021,104.419998,129100,169.619995,2414400,723,61788,1536561
3/31/2021,104.080002,109700,178,2876900,958,70981,1585231
4/1/2021,105.879997,103200,187.009995,2822800,817,74315,1447144
4/5/2021,111.400002,91800,187.059998,2012500,375,56980,951541
4/6/2021,107.050003,58900,182.279999,2301900,722,64237,1555676
4/7/2021,107.660004,56100,182.5,2105800,827,76100,1670197
4/8/2021,105.440002,86900,181.940002,2289200,861,76494,1519203
4/9/2021,107.790001,56700,182.309998,1875700,839,77503,1453585
4/12/2021,106.769997,50900,181.332001,1968000,546,62113,1057171
4/13/2021,103.629997,83800,184.5,3787600,748,71943,1614230
4/14/2021,104.440002,48800,190,3178500,801,71978,1676932
4/15/2021,105.779999,53300,192.710007,2393700,797,73308,1485762
4/16/2021,105.910004,81500,193,1574100,813,72265,1456945
4/19/2021,109.279999,138800,188.110001,2725300,487,36051,1020497
4/20/2021,110.18,59600,183.039993,1807600,740,57901,1571359
4/21/2021,110.360001,59200,179.800003,1392600,779,64370,1655882
4/22/2021,114.419998,107700,185,1905800,794,62933,1498425
4/23/2021,115.519997,68000,182.389999,1811200,846,63145,1411991
4/26/2021,117.489998,42300,184.009995,2922500,487,39932,999448
4/27/2021,116.419998,44700,190.789993,2170900,541,50560,1575190
4/28/2021,114.699997,27700,186.330002,2959500,848,55361,1581476
4/29/2021,115.550003,31200,174.710007,12156900,768,56393,1420745
4/30/2021,113.389999,53800,169.240005,4087200,796,55735,1316439
5/3/2021,115.989998,102600,172.389999,4680000,474,33300,897818
5/4/2021,117.379997,34700,160.5,6137400,694,42781,1423671
5/5/2021,115.480003,54200,159.399994,3970400,723,45222,1532114
5/6/2021,111.410004,60400,155.789993,5164000,671,43322,1311381
5/7/2021,119.510002,44500,152.820007,4511600,815,44980,1179175
5/10/2021,119.790001,60300,150.270004,5684300,422,24668,860732
5/11/2021,116.169998,61700,133.740005,6350300,612,33213,1336966
5/12/2021,116.050003,41500,142.009995,3425000,702,36164,1345683
5/13/2021,113,49600,140.149994,5316700,590,40719,1196381
5/14/2021,117.099998,32800,134.589996,3391500,696,35556,1087173
5/17/2021,116.010002,27000,138.410004,2921100,373,19601,798726
5/18/2021,116.489998,30900,138,3009700,604,27923,1215260
5/19/2021,115.410004,23300,135.429993,2502900,607,27857,1181187
5/20/2021,115.809998,23500,137.5,2371300,528,28115,1009376
5/21/2021,118.209999,38200,143.190002,2363000,674,28188,986310
5/24/2021,118.279999,30000,141.880005,1999500,353,15387,713156
5/25/2021,117.580002,33600,144.210007,2915100,506,24407,1074745
5/26/2021,118.080002,35700,145.649994,2761600,525,23728,1051678
5/27/2021,120.029999,35500,148.320007,3811400,544,22260,928253
5/28/2021,118.669998,30300,150.869995,3100800,707,24882,839197
6/1/2021,117.199997,74300,153.869995,2722600,337,9136,709628
6/2/2021,118.410004,95900,151.300003,1902000,500,16338,1110409
6/3/2021,119.699997,69000,151.490005,2831700,475,18450,989465
6/4/2021,120.75,44500,147.179993,2260900,594,18739,870099
6/7/2021,120.610001,36600,147.779999,2345000,324,10027,644875
6/8/2021,119.550003,27000,154.660004,2169200,314,14419,886075
6/9/2021,119.480003,28500,153.550003,2545200,370,19322,867761
6/10/2021,120.010002,27300,150.070007,2355700,391,16044,785060
6/11/2021,118.330002,32800,155.740005,1671100,398,14169,764580
6/14/2021,121,26900,156.289993,2348500,202,8364,597996
6/15/2021,118.629997,40500,157.149994,1988400,312,12855,832110
6/16/2021,120.059998,37800,151.419998,2768800,341,13228,793234
6/17/2021,116.790001,43800,150.649994,2617000,278,13539,725325
6/18/2021,112.980003,100400,156.789993,3033600,273,11993,693820
6/21/2021,110.519997,44100,154.5,1664900,275,8737,570978
6/22/2021,112.580002,54500,155.389999,2172800,309,13497,782552
6/23/2021,114.410004,71500,158,2561200,338,13907,764567
6/24/2021,115.110001,91500,161.669998,2733500,316,15628,694625
6/25/2021,116.900002,114500,165.5,5609500,394,15105,673425
6/28/2021,118.510002,48800,167.570007,2983600,191,10634,552726
6/29/2021,117.620003,23400,171.210007,2345500,277,15732,697551
6/30/2021,114.709999,34200,171,2390300,244,11705,677978
7/1/2021,117.400002,47700,165.289993,1906200,289,18729,642396
7/2/2021,119.459999,56600,165.789993,1422100,302,16962,599822
7/6/2021,118.800003,59100,164.630005,1751500,303,20142,591418
7/7/2021,115.290001,80600,164.029999,2015900,253,22806,778069
7/8/2021,110.480003,62300,154,1534300,265,28104,725193
7/9/2021,113.18,57000,157.25,1481500,312,27772,665415
7/12/2021,114.25,52700,159.639999,1622500,305,29274,588115
7/13/2021,114.540001,37300,155.559998,1632500,337,35189,739017
7/14/2021,115.730003,23900,155.570007,2745200,339,38486,759498
7/15/2021,112.599998,35000,149,2879400,321,40709,768259
7/16/2021,115.400002,37000,147.210007,2085700,368,42463,724912
7/19/2021,110,75800,144.800003,3196100,287,45194,659045
7/20/2021,111.800003,64800,152.789993,2982700,323,51104,901031
7/21/2021,114.110001,30900,154.960007,1703500,396,61556,928125
7/22/2021,111.43,54900,154.449997,1303500,345,71873,916280
7/23/2021,108.75,69000,151.949997,1630600,414,69752,881472
7/26/2021,109.010002,184800,150.910004,2138800,418,71430,785262
7/27/2021,103.860001,437100,149.929993,2767200,503,86169,1035479
7/28/2021,120,84400,134.779999,11581900,493,89594,1107341
7/29/2021,119.129997,32700,150.509995,3310500,503,99701,1110698
7/30/2021,119.190002,33000,154,2273000,651,105144,1049104
8/2/2021,117.849998,43200,147.009995,2120600,656,102590,967508
8/3/2021,118.699997,60600,149.199997,2107600,707,110717,1266199
8/4/2021,118.849998,67300,149.660004,2251100,745,127757,1322546
8/5/2021,121.440002,102200,150,2312600,763,128776,1381681
8/6/2021,120.809998,99900,153,1620900,843,126606,1337653
8/9/2021,114.129997,41700,149.320007,1510100,728,93501,1134199
8/10/2021,114.269997,40500,152,2558100,968,136257,1440131
